POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)

Kinetic  	Total    	CSDA     	Projected
Energy   	Stp. Pow.	Range    	Range
MeV      	MeV cm2/g	g/cm2    	g/cm2

4.500E+02	2.794E+00	1.019E+02	1.019E+02
5.000E+02	2.670E+00	1.203E+02	1.202E+02
5.500E+02	2.569E+00	1.394E+02	1.393E+02
6.000E+02	2.487E+00	1.592E+02	1.590E+02
6.500E+02	2.418E+00	1.796E+02	1.794E+02
7.000E+02	2.361E+00	2.005E+02	2.003E+02
7.500E+02	2.312E+00	2.219E+02	2.217E+02
8.000E+02	2.269E+00	2.437E+02	2.435E+02
8.500E+02	2.232E+00	2.660E+02	2.658E+02
9.000E+02	2.199E+00	2.885E+02	2.883E+02
9.500E+02	2.170E+00	3.114E+02	3.112E+02
1.000E+03	2.145E+00	3.346E+02	3.344E+02
1.500E+03	2.004E+00	5.772E+02	5.768E+02
2.000E+03	1.954E+00	8.303E+02	8.299E+02
2.500E+03	1.937E+00	1.088E+03	1.087E+03
3.000E+03	1.934E+00	1.346E+03	1.345E+03
4.000E+03	1.945E+00	1.862E+03	1.861E+03
5.000E+03	1.964E+00	2.374E+03	2.373E+03
6.000E+03	1.985E+00	2.880E+03	2.879E+03
7.000E+03	2.005E+00	3.381E+03	3.380E+03
8.000E+03	2.024E+00	3.877E+03	3.876E+03
9.000E+03	2.042E+00	4.369E+03	4.368E+03
1.000E+04	2.059E+00	4.857E+03	4.856E+03
